target_id,user_id,period_type,period_start,period_end,metric,target_amount
TGT-1001,USR-3001,quarter,2026-01-01,2026-03-31,bookings,450000
TGT-1002,USR-3001,quarter,2026-04-01,2026-06-30,bookings,450000
TGT-1003,USR-3001,quarter,2026-07-01,2026-09-30,bookings,450000
TGT-1004,USR-3001,quarter,2026-10-01,2026-12-31,bookings,450000
TGT-1005,USR-3001,year,2026-01-01,2026-12-31,bookings,1800000
TGT-1006,USR-3002,quarter,2026-01-01,2026-03-31,bookings,600000
TGT-1007,USR-3002,quarter,2026-04-01,2026-06-30,bookings,600000
TGT-1008,USR-3002,quarter,2026-07-01,2026-09-30,bookings,600000
TGT-1009,USR-3002,quarter,2026-10-01,2026-12-31,bookings,600000
TGT-1010,USR-3002,year,2026-01-01,2026-12-31,bookings,2400000
TGT-1011,USR-3005,quarter,2026-01-01,2026-03-31,bookings,450000
TGT-1012,USR-3005,quarter,2026-04-01,2026-06-30,bookings,450000
TGT-1013,USR-3005,quarter,2026-07-01,2026-09-30,bookings,450000
TGT-1014,USR-3005,quarter,2026-10-01,2026-12-31,bookings,450000
TGT-1015,USR-3005,year,2026-01-01,2026-12-31,bookings,1800000
TGT-1016,USR-3006,quarter,2026-01-01,2026-03-31,bookings,600000
TGT-1017,USR-3006,quarter,2026-04-01,2026-06-30,bookings,600000
TGT-1018,USR-3006,quarter,2026-07-01,2026-09-30,bookings,600000
TGT-1019,USR-3006,quarter,2026-10-01,2026-12-31,bookings,600000
TGT-1020,USR-3006,year,2026-01-01,2026-12-31,bookings,2400000
TGT-1021,USR-3007,quarter,2026-01-01,2026-03-31,bookings,450000
TGT-1022,USR-3007,quarter,2026-04-01,2026-06-30,bookings,450000
TGT-1023,USR-3007,quarter,2026-07-01,2026-09-30,bookings,450000
TGT-1024,USR-3007,quarter,2026-10-01,2026-12-31,bookings,450000
TGT-1025,USR-3007,year,2026-01-01,2026-12-31,bookings,1800000
TGT-1026,USR-3009,quarter,2026-01-01,2026-03-31,bookings,450000
TGT-1027,USR-3009,quarter,2026-04-01,2026-06-30,bookings,450000
TGT-1028,USR-3009,quarter,2026-07-01,2026-09-30,bookings,450000
TGT-1029,USR-3009,quarter,2026-10-01,2026-12-31,bookings,450000
TGT-1030,USR-3009,year,2026-01-01,2026-12-31,bookings,1800000
TGT-1031,USR-3010,quarter,2026-01-01,2026-03-31,bookings,600000
TGT-1032,USR-3010,quarter,2026-04-01,2026-06-30,bookings,600000
TGT-1033,USR-3010,quarter,2026-07-01,2026-09-30,bookings,600000
TGT-1034,USR-3010,quarter,2026-10-01,2026-12-31,bookings,600000
TGT-1035,USR-3010,year,2026-01-01,2026-12-31,bookings,2400000
TGT-1036,USR-3011,quarter,2026-01-01,2026-03-31,bookings,450000
TGT-1037,USR-3011,quarter,2026-04-01,2026-06-30,bookings,450000
TGT-1038,USR-3011,quarter,2026-07-01,2026-09-30,bookings,450000
TGT-1039,USR-3011,quarter,2026-10-01,2026-12-31,bookings,450000
TGT-1040,USR-3011,year,2026-01-01,2026-12-31,bookings,1800000
TGT-1041,USR-3012,quarter,2026-01-01,2026-03-31,bookings,450000
TGT-1042,USR-3012,quarter,2026-04-01,2026-06-30,bookings,450000
TGT-1043,USR-3012,quarter,2026-07-01,2026-09-30,bookings,450000
TGT-1044,USR-3012,quarter,2026-10-01,2026-12-31,bookings,450000
TGT-1045,USR-3012,year,2026-01-01,2026-12-31,bookings,1800000
TGT-1046,USR-3013,quarter,2026-01-01,2026-03-31,bookings,600000
TGT-1047,USR-3013,quarter,2026-04-01,2026-06-30,bookings,600000
TGT-1048,USR-3013,quarter,2026-07-01,2026-09-30,bookings,600000
TGT-1049,USR-3013,quarter,2026-10-01,2026-12-31,bookings,600000
TGT-1050,USR-3013,year,2026-01-01,2026-12-31,bookings,2400000
