meeting_id,account_id,deal_id,organizer_id,title,meeting_type,scheduled_start,scheduled_end,duration_minutes,location,status,agenda,summary,key_points,next_steps,outcome,attendee_contact_ids,attendee_user_ids
MTG-6001,ACC-1001,DL-4080,USR-3002,Apex Logistics / Intellia QBR,QBR,2026-07-15 12:00:00,2026-07-15 12:30:00,30,Google Meet,Completed,Quarterly business review and adoption update,Forecast accuracy is the metric leadership actually cares about. Confirm the security questionnaire owner.,"[""Forecast accuracy is the metric leadership actually cares about"", ""Procurement requires an executive sponsor before paperwork moves"", ""Security review is the critical path item""]","[""Share the ROI model with finance"", ""Circulate pilot success criteria for sign-off""]",No decision,"[""CNT-2003"", ""CNT-2004""]","[""USR-3002""]"
MTG-6002,ACC-1001,DL-4080,USR-3002,Apex Logistics / Intellia Executive Briefing,Executive Briefing,2026-09-22 12:00:00,2026-09-22 13:00:00,60,Zoom,Scheduled,Review the pilot results and agree next steps,,[],[],,"[""CNT-2004""]","[""USR-3002""]"
MTG-6003,ACC-1001,DL-9002,USR-3002,Apex Logistics / Intellia Internal Sync,Internal Sync,2026-09-17 13:30:00,2026-09-17 14:30:00,60,Customer site,Scheduled,Review the pilot results and agree next steps,,[],[],,"[""CNT-2003"", ""CNT-2001"", ""CNT-2005""]","[""USR-3002""]"
MTG-6004,ACC-1001,DL-4020,USR-3002,Apex Logistics / Intellia Demo,Demo,2026-08-07 17:30:00,2026-08-07 18:15:00,45,Google Meet,Completed,Quarterly business review and adoption update,Forecast accuracy is the metric leadership actually cares about. Send the mutual action plan by end of week.,"[""Security review is the critical path item"", ""Champion is willing to socialize the business case internally"", ""Competitive evaluation is down to two vendors""]","[""Share the ROI model with finance"", ""Confirm the security questionnaire owner""]",No decision,"[""CNT-2004"", ""CNT-2006"", ""CNT-2003""]","[""USR-3002""]"
MTG-6005,ACC-1002,DL-4021,USR-3005,Vortex Analytics / Intellia Demo,Demo,2026-06-19 16:30:00,2026-06-19 17:00:00,30,Customer site,Completed,Validate the data connector and custom signal mapping,Forecast accuracy is the metric leadership actually cares about. Circulate pilot success criteria for sign-off.,"[""Procurement requires an executive sponsor before paperwork moves"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Budget is committed but the timing sits behind a leadership review""]","[""Confirm the security questionnaire owner"", ""Share the ROI model with finance""]",Held,"[""CNT-2008"", ""CNT-2007"", ""CNT-2009""]","[""USR-3005""]"
MTG-6006,ACC-1002,DL-4021,USR-3005,Vortex Analytics / Intellia Internal Sync,Internal Sync,2026-09-15 10:00:00,2026-09-15 10:45:00,45,Google Meet,Scheduled,Align business outcome goals with the executive sponsor,,[],[],,"[""CNT-2009"", ""CNT-2008""]","[""USR-3005""]"
MTG-6007,ACC-1002,DL-4141,USR-3006,Vortex Analytics / Intellia Renewal Review,Renewal Review,2026-07-04 17:00:00,2026-07-04 17:45:00,45,Microsoft Teams,Completed,"Renewal scope, timing and expansion options",Security review is the critical path item. Circulate pilot success criteria for sign-off.,"[""Forecast accuracy is the metric leadership actually cares about"", ""Champion is willing to socialize the business case internally"", ""Security review is the critical path item""]","[""Circulate pilot success criteria for sign-off"", ""Confirm the security questionnaire owner""]",Advanced,"[""CNT-2009""]","[""USR-3006""]"
MTG-6008,ACC-1002,DL-4021,USR-3005,Vortex Analytics / Intellia Negotiation,Negotiation,2026-05-11 16:30:00,2026-05-11 17:00:00,30,Google Meet,Completed,Review the pilot results and agree next steps,Champion is willing to socialize the business case internally. Circulate pilot success criteria for sign-off.,"[""Procurement requires an executive sponsor before paperwork moves"", ""Budget is committed but the timing sits behind a leadership review"", ""Competitive evaluation is down to two vendors""]","[""Share the ROI model with finance"", ""Send the mutual action plan by end of week""]",Slipped,"[""CNT-2007""]","[""USR-3005""]"
MTG-6009,ACC-1003,DL-4082,USR-3006,CloudScale Systems / Intellia Discovery,Discovery,2026-05-22 10:00:00,2026-05-22 10:30:00,30,Microsoft Teams,Completed,"Renewal scope, timing and expansion options",Security review is the critical path item. Circulate pilot success criteria for sign-off.,"[""Budget is committed but the timing sits behind a leadership review"", ""Security review is the critical path item"", ""Champion is willing to socialize the business case internally""]","[""Circulate pilot success criteria for sign-off"", ""Share the ROI model with finance""]",Slipped,"[""CNT-2014"", ""CNT-2010"", ""CNT-2011""]","[""USR-3006""]"
MTG-6010,ACC-1003,DL-4022,USR-3006,CloudScale Systems / Intellia Internal Sync,Internal Sync,2026-04-24 16:00:00,2026-04-24 17:00:00,60,Google Meet,Completed,Review the pilot results and agree next steps,The data team wants incremental sync rather than full refresh. Circulate pilot success criteria for sign-off.,"[""Security review is the critical path item"", ""Forecast accuracy is the metric leadership actually cares about"", ""Competitive evaluation is down to two vendors""]","[""Send the mutual action plan by end of week"", ""Circulate pilot success criteria for sign-off""]",Held,"[""CNT-2014"", ""CNT-2013""]","[""USR-3006""]"
