task_id,account_id,deal_id,owner_id,title,description,due_date,priority,status,source,created_at,completed_at
TSK-9001,ACC-1042,DL-4001,USR-3005,Send recap and mutual action plan,Linked to Astral Media - Upsell.,2026-08-27,Low,In Progress,manual,2026-08-18,
TSK-9002,ACC-1043,DL-4002,USR-3006,Book the executive alignment call,Linked to Summit Financial - Upsell.,2026-08-30,High,Open,manual,2026-08-27,
TSK-9003,ACC-1044,DL-4003,USR-3007,Send recap and mutual action plan,Linked to Vector Biotech - New Logo.,2026-08-04,High,Done,email,2026-07-28,2026-08-04
TSK-9004,ACC-1045,DL-4004,USR-3009,Update the close plan in CRM,Linked to Eclipse Systems - New Logo.,2026-08-20,Medium,Open,signal,2026-08-16,
TSK-9005,ACC-1046,DL-4005,USR-3010,Update the close plan in CRM,Linked to Matrix Logistics - New Logo.,2026-08-30,Medium,In Progress,signal,2026-08-28,
TSK-9006,ACC-1047,DL-4006,USR-3011,Follow up on the pilot results,Linked to Northwind Foods - New Logo.,2026-08-02,Medium,Open,signal,2026-07-23,
TSK-9007,ACC-1048,DL-4007,USR-3009,Update the close plan in CRM,Linked to Ironclad Insurance - Upsell.,2026-08-09,Medium,Open,signal,2026-07-26,
TSK-9008,ACC-1049,DL-4008,USR-3013,Chase the signed order form,Linked to Silverline Telecom - Upsell.,2026-08-24,Medium,Open,signal,2026-08-22,
TSK-9009,ACC-1050,DL-4009,USR-3006,Follow up on the pilot results,Linked to Redwood Capital - New Logo.,2026-08-15,High,Open,signal,2026-07-26,
TSK-9010,ACC-1051,DL-4010,USR-3002,Follow up on the pilot results,Linked to Bluepeak Software - New Logo.,2026-09-05,Medium,Open,signal,2026-08-28,
TSK-9011,ACC-1052,DL-4011,USR-3009,Follow up on the pilot results,Linked to Granite Utilities - Renewal.,2026-08-05,High,In Progress,meeting,2026-07-21,
TSK-9012,ACC-1053,DL-4012,USR-3006,Chase the signed order form,Linked to Meridian Health - New Logo.,2026-09-06,Medium,In Progress,signal,2026-09-04,
TSK-9013,ACC-1054,DL-4013,USR-3007,Chase the signed order form,Linked to Copperfield Retail - New Logo.,2026-08-14,High,Open,manual,2026-07-26,
TSK-9014,ACC-1055,DL-4014,USR-3005,Chase the signed order form,Linked to Lakeshore Manufacturing - Renewal.,2026-09-06,Medium,Open,email,2026-08-23,
TSK-9015,ACC-1056,DL-4015,USR-3010,Share the ROI model with finance,Linked to Ridgeline Data - Renewal.,2026-08-01,Low,Open,meeting,2026-07-13,
TSK-9016,ACC-1057,DL-4016,USR-3011,Log the competitive intel from the last call,Linked to Foxglove Labs - New Logo.,2026-09-06,Medium,Open,email,2026-08-17,
TSK-9017,ACC-1058,DL-4017,USR-3012,Book the executive alignment call,Linked to Harborview Energy - Renewal.,2026-08-08,Medium,Done,meeting,2026-07-23,2026-08-08
TSK-9018,ACC-1059,DL-4018,USR-3013,Draft the renewal proposal,Linked to Stonebridge Bank - Renewal.,2026-08-07,Medium,Done,email,2026-07-28,2026-08-07
TSK-9019,ACC-1060,DL-4019,USR-3001,Log the competitive intel from the last call,Linked to Wavelength Media - New Logo.,2026-08-16,High,Open,manual,2026-07-31,
TSK-9020,ACC-1001,DL-4020,USR-3002,Update the close plan in CRM,Linked to Apex Logistics - Renewal.,2026-08-24,Medium,Open,email,2026-08-22,
TSK-9021,ACC-1002,DL-4021,USR-3009,Confirm the security questionnaire owner,Linked to Vortex Analytics - New Logo.,2026-08-09,Medium,Done,manual,2026-08-02,2026-08-09
TSK-9022,ACC-1003,DL-4022,USR-3012,Prepare the QBR deck,Linked to CloudScale Systems - Upsell.,2026-09-03,Medium,In Progress,email,2026-08-30,
TSK-9023,ACC-1004,DL-4023,USR-3007,Send recap and mutual action plan,Linked to BioHealth Labs - Upsell.,2026-09-03,High,Open,meeting,2026-08-27,
TSK-9024,ACC-1005,DL-4024,USR-3010,Confirm the security questionnaire owner,Linked to OmniRetail Group - Upsell.,2026-09-02,Low,In Progress,email,2026-08-22,
TSK-9025,ACC-1006,DL-4025,USR-3010,Send recap and mutual action plan,Linked to CyberGuard Networks - Renewal.,2026-08-24,High,In Progress,email,2026-08-20,
TSK-9026,ACC-1007,DL-4026,USR-3011,Prepare the QBR deck,Linked to DataPulse AI - Upsell.,2026-08-08,High,In Progress,email,2026-07-27,
TSK-9027,ACC-1008,DL-4027,USR-3012,Book the executive alignment call,Linked to Nexus Financial - Renewal.,2026-09-06,Low,Open,email,2026-08-21,
TSK-9028,ACC-1009,DL-4028,USR-3010,Draft the renewal proposal,Linked to Strata Energy - Renewal.,2026-09-04,Medium,Open,manual,2026-08-18,
TSK-9029,ACC-1010,DL-4029,USR-3001,Send recap and mutual action plan,Linked to Fintech Dynamics - New Logo.,2026-08-11,High,Done,email,2026-07-30,2026-08-11
TSK-9030,ACC-1011,DL-4030,USR-3002,Update the close plan in CRM,Linked to Quantum Edge - New Logo.,2026-08-26,Medium,In Progress,email,2026-08-21,
TSK-9031,ACC-1012,DL-4031,USR-3005,Confirm the security questionnaire owner,Linked to Synergy Media - New Logo.,2026-08-30,Medium,Open,signal,2026-08-20,
TSK-9032,ACC-1013,DL-4032,USR-3006,Confirm the security questionnaire owner,Linked to Astra Manufacturing - New Logo.,2026-08-03,Low,Open,manual,2026-07-25,
TSK-9033,ACC-1014,DL-4033,USR-3007,Update the close plan in CRM,Linked to Velocity Cloud - New Logo.,2026-08-31,Low,Open,email,2026-08-28,
TSK-9034,ACC-1015,DL-4034,USR-3009,Send recap and mutual action plan,Linked to Horizon Ventures - Upsell.,2026-08-30,Medium,In Progress,signal,2026-08-26,
TSK-9035,ACC-1016,DL-4035,USR-3010,Confirm the security questionnaire owner,Linked to Pinnacle Software - Upsell.,2026-08-21,Medium,Open,email,2026-08-01,
TSK-9036,ACC-1017,DL-4036,USR-3011,Prepare the QBR deck,Linked to Aether Digital - New Logo.,2026-08-21,High,Open,manual,2026-08-08,
TSK-9037,ACC-1018,DL-4037,USR-3012,Book the executive alignment call,Linked to Lumina Health - New Logo.,2026-08-17,Medium,In Progress,email,2026-08-02,
TSK-9038,ACC-1019,DL-4038,USR-3009,Log the competitive intel from the last call,Linked to Crest Solutions - New Logo.,2026-08-07,Medium,Open,signal,2026-07-22,
TSK-9039,ACC-1020,DL-4039,USR-3006,Follow up on the pilot results,Linked to Trident Corp - New Logo.,2026-09-01,Medium,Open,meeting,2026-08-17,
TSK-9040,ACC-1021,DL-4040,USR-3001,Chase the signed order form,Linked to Beacon Utilities - Upsell.,2026-08-22,Low,Open,email,2026-08-16,
TSK-9041,ACC-1022,DL-4041,USR-3005,Update the close plan in CRM,Linked to Core Networks - Upsell.,2026-08-25,High,In Progress,signal,2026-08-20,
TSK-9042,ACC-1023,DL-4042,USR-3006,Log the competitive intel from the last call,Linked to Echelon Labs - Upsell.,2026-08-02,High,Done,signal,2026-07-15,2026-08-02
TSK-9043,ACC-1024,DL-4043,USR-3007,Draft the renewal proposal,Linked to Zenith Retail - New Logo.,2026-09-05,Medium,Open,email,2026-08-28,
TSK-9044,ACC-1025,DL-4044,USR-3009,Prepare the QBR deck,Linked to Kinetix Robotics - New Logo.,2026-09-06,Low,Open,meeting,2026-08-20,
TSK-9045,ACC-1026,DL-4045,USR-3010,Update the close plan in CRM,Linked to Optima Insurance - New Logo.,2026-08-10,High,Open,manual,2026-08-07,
TSK-9046,ACC-1027,DL-4046,USR-3011,Prepare the QBR deck,Linked to Veritas Data - Renewal.,2026-08-12,Medium,Open,email,2026-08-10,
TSK-9047,ACC-1028,DL-4047,USR-3001,Book the executive alignment call,Linked to Vanguard Payments - Upsell.,2026-08-29,Medium,Open,email,2026-08-14,
TSK-9048,ACC-1029,DL-4048,USR-3013,Share the ROI model with finance,Linked to Solstice Energy - Renewal.,2026-08-13,Medium,In Progress,signal,2026-08-08,
TSK-9049,ACC-1030,DL-4049,USR-3001,Share the ROI model with finance,Linked to Infini Telecom - New Logo.,2026-08-08,Low,Open,manual,2026-08-06,
TSK-9050,ACC-1031,DL-4050,USR-3002,Prepare the QBR deck,Linked to Pulse Diagnostics - Upsell.,2026-08-27,Medium,Open,email,2026-08-14,
TSK-9051,ACC-1032,DL-4051,USR-3005,Update the close plan in CRM,Linked to Titan Industrial - Renewal.,2026-08-02,Low,Done,manual,2026-07-18,2026-08-02
TSK-9052,ACC-1033,DL-4052,USR-3006,Share the ROI model with finance,Linked to Prism Analytics - Renewal.,2026-08-03,Low,Done,email,2026-07-25,2026-08-03
TSK-9053,ACC-1034,DL-4053,USR-3001,Share the ROI model with finance,Linked to Cobalt Mining - New Logo.,2026-08-09,Low,Open,email,2026-07-21,
TSK-9054,ACC-1035,DL-4054,USR-3009,Draft the renewal proposal,Linked to Sentry Security - New Logo.,2026-09-01,Medium,In Progress,meeting,2026-08-13,
TSK-9055,ACC-1036,DL-4055,USR-3007,Update the close plan in CRM,Linked to Helios Power - New Logo.,2026-08-12,High,Open,signal,2026-07-26,
TSK-9056,ACC-1037,DL-4056,USR-3011,Chase the signed order form,Linked to Fortress Bank - Renewal.,2026-09-07,Medium,Open,signal,2026-09-03,
TSK-9057,ACC-1038,DL-4057,USR-3012,Share the ROI model with finance,Linked to Clarity Health - New Logo.,2026-09-03,Low,Open,email,2026-08-27,
TSK-9058,ACC-1039,DL-4058,USR-3009,Book the executive alignment call,Linked to Nouveau Retail - Renewal.,2026-08-27,High,Open,signal,2026-08-21,
TSK-9059,ACC-1040,DL-4059,USR-3013,Update the close plan in CRM,Linked to Orion Aerospace - New Logo.,2026-08-08,High,Done,email,2026-07-31,2026-08-08
TSK-9060,ACC-1041,DL-4060,USR-3002,Log the competitive intel from the last call,Linked to Hyperion Cloud - New Logo.,2026-08-12,Low,Done,email,2026-08-03,2026-08-12
TSK-9061,ACC-1042,DL-4061,USR-3005,Chase the signed order form,Linked to Astral Media - Renewal.,2026-08-04,Low,Open,signal,2026-08-02,
TSK-9062,ACC-1043,DL-4062,USR-3006,Follow up on the pilot results,Linked to Summit Financial - Upsell.,2026-09-05,Medium,In Progress,meeting,2026-08-22,
TSK-9063,ACC-1044,DL-4063,USR-3006,Confirm the security questionnaire owner,Linked to Vector Biotech - Renewal.,2026-09-01,Medium,Open,meeting,2026-08-20,
TSK-9064,ACC-1045,DL-4064,USR-3009,Chase the signed order form,Linked to Eclipse Systems - New Logo.,2026-08-16,Medium,Open,signal,2026-08-02,
TSK-9065,ACC-1046,DL-4065,USR-3010,Share the ROI model with finance,Linked to Matrix Logistics - New Logo.,2026-09-02,Low,Open,meeting,2026-08-27,
TSK-9066,ACC-1047,DL-4066,USR-3007,Update the close plan in CRM,Linked to Northwind Foods - New Logo.,2026-08-14,High,Open,manual,2026-07-25,
