deal_id,account_id,owner_id,deal_name,deal_type,stage,amount,probability,forecast_category,close_date,created_date,stage_entered_at,last_activity_date,next_step,next_step_due_date,competitor,source,win_loss_reason
DL-4001,ACC-1042,USR-3005,Astral Media - Upsell,Upsell,Stage 5 - Closed Won,124000,100,Closed,2025-11-09,2025-08-06,2025-10-01,2025-10-05,,,,Outbound,Executive sponsor championed the rollout
DL-4002,ACC-1043,USR-3006,Summit Financial - Upsell,Upsell,Stage 5 - Closed Won,385000,100,Closed,2025-11-27,2025-08-24,2025-10-26,2025-11-05,,,,Outbound,Fastest time to value in evaluation
DL-4003,ACC-1044,USR-3007,Vector Biotech - New Logo,New Logo,Stage 5 - Closed Won,204000,100,Closed,2026-01-14,2025-08-03,2025-12-15,2025-12-18,,,Clari,Inbound,Fastest time to value in evaluation
DL-4004,ACC-1045,USR-3009,Eclipse Systems - New Logo,New Logo,Stage 5 - Closed Won,163000,100,Closed,2025-10-01,2025-08-01,2025-09-07,2025-09-19,,,Incumbent CRM,Inbound,Consolidated three point tools
DL-4005,ACC-1046,USR-3010,Matrix Logistics - New Logo,New Logo,Stage 5 - Closed Won,179000,100,Closed,2025-12-13,2025-08-08,2025-12-02,2025-12-23,,,Clari,Marketing,Consolidated three point tools
DL-4006,ACC-1047,USR-3011,Northwind Foods - New Logo,New Logo,Stage 5 - Closed Won,575000,100,Closed,2025-12-14,2025-08-28,2025-11-29,2025-12-04,,,Gong,Marketing,Signal-to-action workflow beat incumbent
DL-4007,ACC-1048,USR-3009,Ironclad Insurance - Upsell,Upsell,Stage 5 - Closed Won,303000,100,Closed,2025-12-30,2025-08-28,2025-11-25,2025-11-28,,,In-house build,Partner,Fastest time to value in evaluation
DL-4008,ACC-1049,USR-3013,Silverline Telecom - Upsell,Upsell,Stage 5 - Closed Lost,36000,0,Omitted,2025-10-23,2025-08-21,2025-09-16,2025-09-19,,,Incumbent CRM,Partner,Lost to incumbent CRM add-on
DL-4009,ACC-1050,USR-3012,Redwood Capital - New Logo,New Logo,Stage 5 - Closed Won,453000,100,Closed,2025-11-21,2025-08-13,2025-10-24,2025-11-03,,,In-house build,Marketing,Fastest time to value in evaluation
DL-4010,ACC-1051,USR-3002,Bluepeak Software - New Logo,New Logo,Stage 5 - Closed Lost,56000,0,Omitted,2025-10-22,2025-08-28,2025-09-29,2025-10-22,,,Incumbent CRM,Inbound,Lost to incumbent CRM add-on
DL-4011,ACC-1052,USR-3009,Granite Utilities - Renewal,Renewal,Stage 5 - Closed Won,393000,100,Closed,2025-12-04,2025-08-09,2025-11-08,2025-12-01,,,In-house build,Expansion,Executive sponsor championed the rollout
DL-4012,ACC-1053,USR-3006,Meridian Health - New Logo,New Logo,Stage 5 - Closed Won,73000,100,Closed,2026-01-21,2025-08-12,2025-12-14,2025-12-24,,,In-house build,Expansion,Forecast accuracy proof-of-value landed
DL-4013,ACC-1054,USR-3007,Copperfield Retail - New Logo,New Logo,Stage 5 - Closed Won,164000,100,Closed,2025-11-20,2025-08-15,2025-11-12,2025-12-04,,,,Marketing,Consolidated three point tools
DL-4014,ACC-1055,USR-3009,Lakeshore Manufacturing - Renewal,Renewal,Stage 5 - Closed Lost,56000,0,Omitted,2026-02-05,2025-08-24,2025-12-28,2026-01-08,,,Incumbent CRM,Inbound,Budget frozen for the fiscal year
DL-4015,ACC-1056,USR-3010,Ridgeline Data - Renewal,Renewal,Stage 5 - Closed Lost,124000,0,Omitted,2026-01-21,2025-09-21,2025-12-18,2025-12-23,,,Incumbent CRM,Expansion,Champion left mid-cycle
DL-4016,ACC-1057,USR-3011,Foxglove Labs - New Logo,New Logo,Stage 5 - Closed Won,564000,100,Closed,2025-12-10,2025-09-28,2025-12-04,2025-12-23,,,In-house build,Inbound,Signal-to-action workflow beat incumbent
DL-4017,ACC-1058,USR-3012,Harborview Energy - Renewal,Renewal,Stage 5 - Closed Won,23000,100,Closed,2026-01-07,2025-09-06,2025-12-13,2025-12-25,,,Gong,Inbound,Consolidated three point tools
DL-4018,ACC-1059,USR-3013,Stonebridge Bank - Renewal,Renewal,Stage 5 - Closed Lost,21000,0,Omitted,2026-03-02,2025-09-22,2026-01-25,2026-02-15,,,Incumbent CRM,Marketing,Deprioritized after reorg
DL-4019,ACC-1060,USR-3001,Wavelength Media - New Logo,New Logo,Stage 5 - Closed Won,264000,100,Closed,2025-11-26,2025-09-15,2025-11-20,2025-12-10,,,Clari,Expansion,Executive sponsor championed the rollout
DL-4020,ACC-1001,USR-3002,Apex Logistics - Renewal,Renewal,Stage 5 - Closed Won,16000,100,Closed,2026-03-01,2025-09-17,2026-02-09,2026-02-12,,,People.ai,Marketing,Forecast accuracy proof-of-value landed
DL-4021,ACC-1002,USR-3009,Vortex Analytics - New Logo,New Logo,Stage 5 - Closed Won,120000,100,Closed,2026-02-01,2025-09-03,2026-01-03,2026-01-28,,,Incumbent CRM,Marketing,Fastest time to value in evaluation
DL-4022,ACC-1003,USR-3006,CloudScale Systems - Upsell,Upsell,Stage 5 - Closed Lost,248000,0,Omitted,2025-11-03,2025-09-12,2025-09-26,2025-10-02,,,,Outbound,Deprioritized after reorg
DL-4023,ACC-1004,USR-3007,BioHealth Labs - Upsell,Upsell,Stage 5 - Closed Won,156000,100,Closed,2026-02-12,2025-09-17,2026-01-30,2026-02-12,,,,Outbound,Fastest time to value in evaluation
DL-4024,ACC-1005,USR-3009,OmniRetail Group - Upsell,Upsell,Stage 5 - Closed Won,464000,100,Closed,2026-01-19,2025-09-21,2026-01-13,2026-02-01,,,Gong,Partner,Fastest time to value in evaluation
DL-4025,ACC-1006,USR-3010,CyberGuard Networks - Renewal,Renewal,Stage 5 - Closed Lost,33000,0,Omitted,2025-12-27,2025-09-02,2025-12-07,2025-12-10,,,People.ai,Expansion,Deprioritized after reorg
DL-4026,ACC-1007,USR-3011,DataPulse AI - Upsell,Upsell,Stage 5 - Closed Won,281000,100,Closed,2026-01-10,2025-09-01,2025-12-17,2025-12-25,,,Incumbent CRM,Marketing,Executive sponsor championed the rollout
DL-4027,ACC-1008,USR-3012,Nexus Financial - Renewal,Renewal,Stage 5 - Closed Lost,84000,0,Omitted,2025-11-23,2025-09-12,2025-11-20,2025-11-21,,,In-house build,Outbound,Deprioritized after reorg
DL-4028,ACC-1009,USR-3005,Strata Energy - Renewal,Renewal,Stage 5 - Closed Won,163000,100,Closed,2025-11-19,2025-09-14,2025-10-30,2025-10-30,,,Gong,Inbound,Consolidated three point tools
DL-4029,ACC-1010,USR-3001,Fintech Dynamics - New Logo,New Logo,Stage 5 - Closed Lost,42000,0,Omitted,2025-12-07,2025-10-15,2025-11-15,2025-11-19,,,People.ai,Inbound,Champion left mid-cycle
DL-4030,ACC-1011,USR-3002,Quantum Edge - New Logo,New Logo,Stage 5 - Closed Won,183000,100,Closed,2026-01-24,2025-10-14,2026-01-04,2026-01-06,,,Clari,Partner,Consolidated three point tools
DL-4031,ACC-1012,USR-3005,Synergy Media - New Logo,New Logo,Stage 5 - Closed Lost,170000,0,Omitted,2026-02-25,2025-10-22,2026-02-11,2026-02-16,,,In-house build,Marketing,Budget frozen for the fiscal year
DL-4032,ACC-1013,USR-3006,Astra Manufacturing - New Logo,New Logo,Stage 5 - Closed Won,463000,100,Closed,2025-11-28,2025-10-05,2025-11-06,2025-11-16,,,Gong,Outbound,Executive sponsor championed the rollout
DL-4033,ACC-1014,USR-3007,Velocity Cloud - New Logo,New Logo,Stage 5 - Closed Lost,214000,0,Omitted,2026-01-12,2025-10-20,2025-12-29,2025-12-31,,,Clari,Marketing,Deprioritized after reorg
DL-4034,ACC-1015,USR-3009,Horizon Ventures - Upsell,Upsell,Stage 5 - Closed Won,200000,100,Closed,2026-01-04,2025-10-19,2025-12-24,2025-12-24,,,Incumbent CRM,Marketing,Signal-to-action workflow beat incumbent
DL-4035,ACC-1016,USR-3010,Pinnacle Software - Upsell,Upsell,Stage 5 - Closed Won,229000,100,Closed,2025-12-10,2025-10-13,2025-12-04,2025-12-15,,,People.ai,Outbound,Forecast accuracy proof-of-value landed
DL-4036,ACC-1017,USR-3011,Aether Digital - New Logo,New Logo,Stage 5 - Closed Lost,130000,0,Omitted,2026-01-18,2025-10-06,2025-12-17,2026-01-10,,,In-house build,Outbound,Lost to incumbent CRM add-on
DL-4037,ACC-1018,USR-3012,Lumina Health - New Logo,New Logo,Stage 5 - Closed Lost,114000,0,Omitted,2025-12-05,2025-10-14,2025-12-02,2025-12-06,,,Clari,Marketing,No executive sponsor identified
DL-4038,ACC-1019,USR-3013,Crest Solutions - New Logo,New Logo,Stage 5 - Closed Won,125000,100,Closed,2026-01-26,2025-10-15,2026-01-20,2026-02-02,,,In-house build,Partner,Consolidated three point tools
DL-4039,ACC-1020,USR-3001,Trident Corp - New Logo,New Logo,Stage 5 - Closed Won,444000,100,Closed,2026-01-06,2025-10-23,2025-12-20,2026-01-13,,,Gong,Inbound,Fastest time to value in evaluation
DL-4040,ACC-1021,USR-3002,Beacon Utilities - Upsell,Upsell,Stage 5 - Closed Won,124000,100,Closed,2025-12-31,2025-10-07,2025-12-06,2025-12-22,,,,Marketing,Consolidated three point tools
DL-4041,ACC-1022,USR-3005,Core Networks - Upsell,Upsell,Stage 5 - Closed Lost,78000,0,Omitted,2026-03-14,2025-10-07,2026-02-14,2026-03-08,,,Clari,Marketing,Lost to incumbent CRM add-on
DL-4042,ACC-1023,USR-3006,Echelon Labs - Upsell,Upsell,Stage 5 - Closed Won,164000,100,Closed,2025-11-28,2025-10-08,2025-11-24,2025-12-10,,,In-house build,Partner,Forecast accuracy proof-of-value landed
DL-4043,ACC-1024,USR-3007,Zenith Retail - New Logo,New Logo,Stage 5 - Closed Won,548000,100,Closed,2026-03-06,2025-11-03,2026-02-19,2026-02-23,,,Gong,Partner,Forecast accuracy proof-of-value landed
DL-4044,ACC-1025,USR-3009,Kinetix Robotics - New Logo,New Logo,Stage 5 - Closed Won,50000,100,Closed,2026-01-04,2025-11-12,2025-12-11,2025-12-26,,,Incumbent CRM,Expansion,Consolidated three point tools
DL-4045,ACC-1026,USR-3010,Optima Insurance - New Logo,New Logo,Stage 5 - Closed Lost,37000,0,Omitted,2026-01-24,2025-11-28,2025-12-18,2026-01-07,,,Gong,Expansion,Champion left mid-cycle
DL-4046,ACC-1027,USR-3011,Veritas Data - Renewal,Renewal,Stage 5 - Closed Lost,54000,0,Omitted,2026-01-29,2025-11-01,2026-01-04,2026-01-14,,,Clari,Inbound,No executive sponsor identified
DL-4047,ACC-1028,USR-3001,Vanguard Payments - Upsell,Upsell,Stage 5 - Closed Lost,101000,0,Omitted,2026-04-20,2025-11-26,2026-03-18,2026-04-12,,,,Inbound,No executive sponsor identified
DL-4048,ACC-1029,USR-3013,Solstice Energy - Renewal,Renewal,Stage 5 - Closed Won,95000,100,Closed,2026-02-18,2025-11-15,2026-01-20,2026-02-01,,,Incumbent CRM,Expansion,Forecast accuracy proof-of-value landed
DL-4049,ACC-1030,USR-3001,Infini Telecom - New Logo,New Logo,Stage 5 - Closed Won,70000,100,Closed,2026-04-22,2025-11-23,2026-03-19,2026-03-31,,,Incumbent CRM,Outbound,Signal-to-action workflow beat incumbent
DL-4050,ACC-1031,USR-3002,Pulse Diagnostics - Upsell,Upsell,Stage 5 - Closed Won,285000,100,Closed,2026-04-06,2025-11-28,2026-03-22,2026-04-03,,,Incumbent CRM,Outbound,Fastest time to value in evaluation
DL-4051,ACC-1032,USR-3005,Titan Industrial - Renewal,Renewal,Stage 5 - Closed Won,65000,100,Closed,2026-03-23,2025-11-04,2026-03-19,2026-03-24,,,Gong,Inbound,Signal-to-action workflow beat incumbent
DL-4052,ACC-1033,USR-3006,Prism Analytics - Renewal,Renewal,Stage 5 - Closed Won,165000,100,Closed,2026-01-31,2025-11-15,2026-01-26,2026-02-11,,,Incumbent CRM,Marketing,Consolidated three point tools
DL-4053,ACC-1034,USR-3007,Cobalt Mining - New Logo,New Logo,Stage 5 - Closed Lost,26000,0,Omitted,2026-01-21,2025-11-27,2025-12-28,2026-01-03,,,Incumbent CRM,Marketing,Budget frozen for the fiscal year
DL-4054,ACC-1035,USR-3009,Sentry Security - New Logo,New Logo,Stage 5 - Closed Won,30000,100,Closed,2026-05-10,2025-11-27,2026-04-11,2026-04-12,,,People.ai,Marketing,Fastest time to value in evaluation
DL-4055,ACC-1036,USR-3011,Helios Power - New Logo,New Logo,Stage 5 - Closed Lost,62000,0,Omitted,2026-04-08,2025-11-25,2026-03-19,2026-04-01,,,,Partner,No executive sponsor identified
DL-4056,ACC-1037,USR-3011,Fortress Bank - Renewal,Renewal,Stage 5 - Closed Won,46000,100,Closed,2026-02-13,2025-11-02,2026-01-25,2026-02-08,,,Clari,Outbound,Consolidated three point tools
DL-4057,ACC-1038,USR-3012,Clarity Health - New Logo,New Logo,Stage 5 - Closed Won,29000,100,Closed,2026-04-13,2025-12-17,2026-03-25,2026-04-16,,,In-house build,Marketing,Forecast accuracy proof-of-value landed
DL-4058,ACC-1039,USR-3009,Nouveau Retail - Renewal,Renewal,Stage 5 - Closed Lost,39000,0,Omitted,2026-04-13,2025-12-16,2026-04-02,2026-04-03,,,People.ai,Expansion,Champion left mid-cycle
DL-4059,ACC-1040,USR-3001,Orion Aerospace - New Logo,New Logo,Stage 5 - Closed Won,170000,100,Closed,2026-05-16,2025-12-18,2026-04-09,2026-04-15,,,In-house build,Partner,Executive sponsor championed the rollout
DL-4060,ACC-1041,USR-3002,Hyperion Cloud - New Logo,New Logo,Stage 5 - Closed Won,55000,100,Closed,2026-02-23,2025-12-14,2026-01-31,2026-02-05,,,People.ai,Partner,Forecast accuracy proof-of-value landed
DL-4061,ACC-1042,USR-3005,Astral Media - Renewal,Renewal,Stage 5 - Closed Won,97000,100,Closed,2026-03-14,2025-12-07,2026-02-28,2026-03-24,,,Clari,Outbound,Consolidated three point tools
DL-4062,ACC-1043,USR-3006,Summit Financial - Upsell,Upsell,Stage 5 - Closed Won,136000,100,Closed,2026-02-20,2025-12-27,2026-02-07,2026-02-12,,,Gong,Outbound,Consolidated three point tools
DL-4063,ACC-1044,USR-3007,Vector Biotech - Renewal,Renewal,Stage 5 - Closed Lost,121000,0,Omitted,2026-04-20,2025-12-13,2026-04-10,2026-04-15,,,,Outbound,No executive sponsor identified
DL-4064,ACC-1045,USR-3009,Eclipse Systems - New Logo,New Logo,Stage 5 - Closed Won,49000,100,Closed,2026-02-23,2025-12-16,2026-01-24,2026-02-13,,,Gong,Inbound,Consolidated three point tools
DL-4065,ACC-1046,USR-3010,Matrix Logistics - New Logo,New Logo,Stage 5 - Closed Won,177000,100,Closed,2026-05-22,2025-12-21,2026-05-14,2026-06-07,,,Clari,Inbound,Fastest time to value in evaluation
