account_id,account_name,domain,industry,region,segment,tier,status,arr,employee_count,owner_id,renewal_date,health_score,created_at
ACC-1001,Apex Logistics,apexlogistics.com,Financial Services,EMEA,SMB,Tier 3,Customer,31000,137,USR-3002,2027-06-16,67,2023-04-21
ACC-1002,Vortex Analytics,vortexanalytics.com,Cloud Infrastructure,APAC,Mid-Market,Tier 2,Prospect,0,2124,USR-3005,,64,2022-12-13
ACC-1003,CloudScale Systems,cloudscalesystems.com,Healthcare,AMER,Enterprise,Tier 1,Customer,297000,2738,USR-3006,2026-12-19,60,2025-12-25
ACC-1004,BioHealth Labs,biohealthlabs.com,Retail & E-commerce,AMER,Mid-Market,Tier 2,Customer,113000,2330,USR-3007,2026-08-17,85,2025-08-31
ACC-1005,OmniRetail Group,omniretailgroup.com,Cybersecurity,APAC,Enterprise,Tier 1,Customer,247000,5036,USR-3009,2027-01-19,50,2025-05-25
ACC-1006,CyberGuard Networks,cyberguardnetworks.com,Data & Analytics,AMER,SMB,Tier 3,Customer,42000,123,USR-3010,2026-11-21,91,2023-07-04
ACC-1007,DataPulse AI,datapulseai.com,Media & Telecom,EMEA,Enterprise,Tier 1,Customer,250000,10920,USR-3011,2026-10-26,72,2024-08-10
ACC-1008,Nexus Financial,nexusfinancial.com,Energy & Utilities,AMER,Mid-Market,Tier 2,Customer,160000,2003,USR-3012,2027-01-10,44,2026-04-06
ACC-1009,Strata Energy,strataenergy.com,Manufacturing,AMER,Mid-Market,Tier 2,Customer,91000,1382,USR-3013,2026-09-21,91,2024-02-03
ACC-1010,Fintech Dynamics,fintechdynamics.com,Enterprise Software,EMEA,SMB,Tier 3,Customer,59000,344,USR-3001,2027-04-08,87,2025-11-03
ACC-1011,Quantum Edge,quantumedge.com,Financial Services,APAC,Mid-Market,Tier 2,Customer,155000,1743,USR-3002,2027-03-24,95,2023-01-17
ACC-1012,Synergy Media,synergymedia.com,Cloud Infrastructure,AMER,Mid-Market,Tier 2,Customer,64000,836,USR-3005,2026-08-24,56,2025-03-18
ACC-1013,Astra Manufacturing,astramanufacturing.com,Healthcare,EMEA,Enterprise,Tier 1,Prospect,0,7325,USR-3006,,66,2025-10-12
ACC-1014,Velocity Cloud,velocitycloud.com,Retail & E-commerce,APAC,Enterprise,Tier 1,Customer,415000,11907,USR-3007,2027-03-04,77,2022-12-30
ACC-1015,Horizon Ventures,horizonventures.com,Cybersecurity,AMER,Enterprise,Tier 1,Customer,213000,3613,USR-3009,2026-11-16,96,2023-09-10
ACC-1016,Pinnacle Software,pinnaclesoftware.com,Data & Analytics,AMER,Enterprise,Tier 1,Customer,347000,6924,USR-3010,2026-10-26,45,2023-06-23
ACC-1017,Aether Digital,aetherdigital.com,Media & Telecom,APAC,Mid-Market,Tier 2,Prospect,0,1547,USR-3011,,44,2024-09-07
ACC-1018,Lumina Health,luminahealth.com,Energy & Utilities,AMER,Mid-Market,Tier 2,Customer,160000,1762,USR-3012,2026-08-23,54,2026-02-20
ACC-1019,Crest Solutions,crestsolutions.com,Manufacturing,EMEA,Enterprise,Tier 1,Customer,180000,3460,USR-3013,2026-11-09,83,2026-01-05
ACC-1020,Trident Corp,tridentcorp.com,Enterprise Software,AMER,Enterprise,Tier 1,Customer,365000,4805,USR-3001,2026-09-25,64,2023-08-16
ACC-1021,Beacon Utilities,beaconutilities.com,Financial Services,AMER,Mid-Market,Tier 2,Customer,87000,2465,USR-3002,2026-08-01,89,2024-01-22
ACC-1022,Core Networks,corenetworks.com,Cloud Infrastructure,EMEA,Mid-Market,Tier 2,Customer,106000,2473,USR-3005,2026-12-03,65,2025-09-12
ACC-1023,Echelon Labs,echelonlabs.com,Healthcare,APAC,Mid-Market,Tier 2,Customer,161000,983,USR-3006,2026-09-25,90,2025-04-10
ACC-1024,Zenith Retail,zenithretail.com,Retail & E-commerce,AMER,Enterprise,Tier 1,Prospect,0,10096,USR-3007,,70,2023-08-18
ACC-1025,Kinetix Robotics,kinetixrobotics.com,Cybersecurity,EMEA,SMB,Tier 3,Prospect,0,231,USR-3009,,53,2025-11-28
ACC-1026,Optima Insurance,optimainsurance.com,Data & Analytics,APAC,SMB,Tier 3,Prospect,0,243,USR-3010,,54,2025-11-11
ACC-1027,Veritas Data,veritasdata.com,Media & Telecom,AMER,SMB,Tier 3,Customer,46000,152,USR-3011,2026-12-13,88,2024-06-24
ACC-1028,Vanguard Payments,vanguardpayments.com,Energy & Utilities,AMER,Mid-Market,Tier 2,Customer,93000,551,USR-3012,2026-07-30,86,2025-12-28
ACC-1029,Solstice Energy,solsticeenergy.com,Manufacturing,APAC,Mid-Market,Tier 2,Customer,154000,2184,USR-3013,2026-08-09,43,2025-10-03
ACC-1030,Infini Telecom,infinitelecom.com,Enterprise Software,AMER,Mid-Market,Tier 2,Prospect,0,1008,USR-3001,,75,2023-06-14
ACC-1031,Pulse Diagnostics,pulsediagnostics.com,Financial Services,EMEA,Enterprise,Tier 1,Customer,292000,3651,USR-3002,2026-07-18,49,2023-03-17
ACC-1032,Titan Industrial,titanindustrial.com,Cloud Infrastructure,AMER,Mid-Market,Tier 2,Customer,101000,652,USR-3005,2027-03-17,48,2022-10-20
