signal_id,account_id,contact_id,owner_id,signal_type,playbook,signal_title,severity,score,status,detected_at,expires_at,action_recommended,source_url
SIG-7001,ACC-1001,,USR-3002,Champion Movement,Champion Movement,Champion joined from a customer account,Medium,79,Dismissed,2026-07-05 16:00:00,2026-09-01,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7001
SIG-7002,ACC-1002,,USR-3005,M&A Event,M&A Event,Acquisition announced in target vertical,Low,69,New,2026-08-10 07:00:00,2026-09-15,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7002
SIG-7003,ACC-1003,,USR-3006,Executive Departure,Executive Change,CRO departure announced,Low,65,New,2026-05-30 18:00:00,2026-09-28,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7003
SIG-7004,ACC-1004,,USR-3007,Executive Departure,Executive Change,VP Sales exited the business,High,98,Actioned,2026-08-13 17:00:00,2026-10-06,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7004
SIG-7005,ACC-1005,CNT-2020,USR-3009,Funding Round,M&A Event,Series D raised to fund GTM expansion,Medium,70,New,2026-08-12 11:00:00,2026-09-24,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7005
SIG-7006,ACC-1006,CNT-2022,USR-3010,Intent Score,Intent Spike,Comparison research against forecasting vendors,Medium,77,New,2026-08-02 13:00:00,2026-09-25,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7006
SIG-7007,ACC-1007,,USR-3011,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,Low,68,New,2026-08-11 14:00:00,2026-10-06,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7007
SIG-7008,ACC-1008,CNT-2036,USR-3012,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,Low,66,New,2026-08-10 08:00:00,2026-10-08,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7008
SIG-7009,ACC-1009,CNT-2037,USR-3013,M&A Event,M&A Event,Divestiture creates a new GTM entity,Low,68,Actioned,2026-08-09 12:00:00,2026-08-18,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7009
SIG-7010,ACC-1010,CNT-2041,USR-3001,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,High,88,New,2026-06-12 18:00:00,2026-08-31,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7010
SIG-7011,ACC-1011,,USR-3002,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",Medium,84,New,2026-06-09 14:00:00,2026-08-19,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7011
SIG-7012,ACC-1012,CNT-2050,USR-3005,M&A Event,M&A Event,Divestiture creates a new GTM entity,High,94,New,2026-08-09 14:00:00,2026-10-01,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7012
SIG-7013,ACC-1013,CNT-2056,USR-3006,M&A Event,M&A Event,Acquisition announced in target vertical,High,94,New,2026-08-07 13:00:00,2026-09-14,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7013
SIG-7014,ACC-1014,CNT-2061,USR-3007,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",Medium,79,Actioned,2026-07-31 19:00:00,2026-09-25,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7014
SIG-7015,ACC-1015,,USR-3009,Funding Round,M&A Event,New capital earmarked for revenue tooling,Low,60,New,2026-08-12 08:00:00,2026-09-18,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7015
